	group	names	scores	logfoldchanges	pvals	pvals_adj
0	Columella	AT5G02380	35.126423	11.778465	2.6636120157763276e-270	6.1841080170279e-266
1	Columella	AT2G36950	27.173895	4.224816	1.3219180645933042e-162	1.0230323901887582e-158
2	Columella	AT2G43610	23.603811	6.0818644	3.522043272376742e-123	9.08569762830787e-120
3	Columella	AT1G66580	23.341854	3.4248753	1.667377265159474e-120	3.871149796520751e-117
4	Columella	AT4G27090	23.233305	3.5931568	2.098401319183989e-119	4.428962129772243e-116
5	Columella	AT5G23820	22.824057	3.1701772	2.645796441680257e-115	4.725188922037733e-112
6	Columella	AT3G04400	21.874748	3.3736534	4.519957631247705e-106	6.172932724981056e-103
7	Columella	AT5G20290	21.684479	3.2978954	2.874991446400101e-104	3.708259800615064e-101
8	Columella	AT5G15200	21.488594	3.312009	1.990442331246517e-102	2.2005761716452568e-99
9	Columella	AT3G52590	21.016981	2.9072692	4.5869943535608556e-98	4.437343662775933e-95
10	Columella	AT1G20450	20.664272	6.6609416	7.264416740124498e-95	6.0234986948382314e-92
11	Columella	AT1G25275	20.559547	1.9843311	6.321882086902521e-94	5.061211600400545e-91
12	Columella	AT4G15910	20.554302	5.190165	7.043580514352248e-94	5.451026960057204e-91
13	Columella	AT3G16640	20.48167	2.9395387	3.1371175091545324e-93	2.349498619678735e-90
14	Columella	AT3G11940	20.450853	3.393887	5.903388522729977e-93	4.283092854131933e-90
15	Columella	AT3G60245	20.371878	3.3234026	2.9706635233698256e-92	1.9705684292022068e-89
16	Columella	AT1G66280	20.197117	2.6669443	1.037837631875502e-90	6.693187860903759e-88
17	Columella	AT2G24850	20.149637	3.5080826	2.710941104518798e-90	1.6563136743056035e-87
18	Columella	AT5G15970	20.13631	4.0596113	3.5479966757901284e-90	2.112149713379985e-87
19	Columella	AT1G67430	19.187288	2.9078598	4.726646518681777e-82	2.612822672005591e-79
20	Columella	AT4G37870	19.159817	3.336371	8.015490242019315e-82	4.327805510440987e-79
21	Columella	AT2G40205	19.106901	3.795225	2.2121883839777564e-81	1.1672813116093539e-78
22	Columella	AT1G30230	18.811777	3.259327	6.047626313656648e-79	2.9251612525868e-76
23	Columella	AT5G27850	18.523033	3.2701795	1.3463198734423113e-76	6.379083367695946e-74
24	Columella	AT3G53020	18.511803	3.2568717	1.658583653010981e-76	7.701467334391188e-74
25	Columella	AT3G59540	18.438152	3.0163383	6.492133658407632e-76	2.955448375436275e-73
26	Columella	AT4G39200	18.435863	2.898714	6.772967347173917e-76	3.023999671141093e-73
27	Columella	AT1G56045	18.407028	3.644136	1.153839355129954e-75	5.0544694920853094e-73
28	Columella	AT4G33865	18.403566	3.097666	1.2299758960369464e-75	5.288213033016627e-73
29	Columella	AT1G14320	18.17007	2.591156	8.908425652587711e-74	3.760489425020525e-71
30	Columella	AT5G18380	18.12617	3.2456715	1.9808946344405992e-73	8.068496618913578e-71
31	Columella	AT1G28290	18.031172	1.658965	1.1091468730459405e-72	4.3886022905549104e-70
32	Columella	AT1G54000	18.030869	3.0217652	1.1152497529514568e-72	4.3886022905549104e-70
33	Columella	AT5G02960	17.918682	3.0359087	8.430091457825156e-72	3.2085480881365024e-69
34	Columella	AT5G60390	17.88907	2.1986554	1.4348295434645377e-71	5.372973792034866e-69
35	Columella	AT5G26260	17.750114	2.917708	1.7200032736453898e-70	6.338621587972224e-68
36	Columella	AT2G34480	17.736004	3.022763	2.2111387334589966e-70	7.897847380725773e-68
37	Columella	AT3G48000	17.712465	2.7875178	3.3602879788463704e-70	1.1820576667405483e-67
38	Columella	AT1G04270	17.36383	3.1912527	1.550252217031594e-67	5.216261698959786e-65
39	Columella	AT5G03210	17.193377	3.173382	2.976825719854451e-66	9.873280391122968e-64
40	Columella	AT2G21660	17.179382	3.3492577	3.7892714426163893e-66	1.2390917617355593e-63
41	Columella	AT1G76650	17.056198	3.1851876	3.1436442886594006e-65	9.998080746548672e-63
42	Columella	AT1G27400	17.035952	3.7336943	4.44448767798202e-65	1.3944279786447102e-62
43	Columella	AT3G09500	16.97783	3.0471613	1.1983351868502327e-64	3.7095664044135806e-62
44	Columella	AT4G09320	16.920963	2.8272412	3.152309430003862e-64	9.62989053110522e-62
45	Columella	AT4G31985	16.621311	2.9495277	4.885262953893741e-62	1.4541173076993717e-59
46	Columella	AT1G07770	16.610226	2.8005416	5.8770906203929175e-62	1.7271951004261059e-59
47	Columella	AT2G19730	16.599766	2.9913254	6.996350784986247e-62	2.030428452187821e-59
48	Columella	AT1G27730	16.593508	2.7480578	7.764924119838793e-62	2.225657324571571e-59
49	Columella	AT2G41430	16.498423	3.051533	3.765967646573037e-61	1.0662740347620267e-58
50	Columella	AT1G15930	16.367695	3.5396037	3.2530716534456554e-60	9.099586093740696e-58
51	Columella	AT4G16720	16.364105	3.3280811	3.450569043301067e-60	9.537126366466771e-58
52	Columella	AT1G02780	16.285894	2.4739852	1.243002636605903e-59	3.395152025185794e-57
53	Columella	AT3G48930	16.20836	2.950242	4.401473738860435e-59	1.1882443697107292e-56
54	Columella	AT2G41800	16.088942	1.8908131	3.0500460007767183e-58	8.139415862072767e-56
55	Columella	AT3G62870	16.05327	3.5110843	5.422995782053625e-58	1.414670708673472e-55
56	Columella	AT1G09690	15.953447	3.0657592	2.6959701385509035e-57	6.878278978762233e-55
57	Columella	AT1G01720	15.936295	1.6055694	3.547762471651663e-57	8.953087098297462e-55
58	Columella	AT2G39460	15.935418	3.081059	3.597859327726141e-57	8.98188172170084e-55
59	Columella	AT5G16130	15.886047	3.3806648	7.916497517924537e-57	1.9552906688686594e-54
60	Columella	AT3G53740	15.859108	2.9337811	1.2160860883537377e-56	2.9719863908746024e-54
61	Columella	AT5G56710	15.839272	2.9531398	1.667411088553948e-56	4.0325295044746885e-54
62	Columella	AT3G25520	15.822328	2.898421	2.182709609522879e-56	5.2109751916040004e-54
63	Columella	AT1G01100	15.821843	3.0918765	2.1995760381495976e-56	5.2109751916040004e-54
64	Columella	AT5G41520	15.815602	2.962098	2.428746446668718e-56	5.695778409324003e-54
65	Columella	AT1G43170	15.728726	3.0760026	9.612508884749546e-56	2.231736187772302e-53
66	Columella	AT2G32190	15.672345	2.171012	2.3378963588181583e-55	5.374152451750611e-53
67	Columella	AT1G70600	15.625762	2.7626722	4.860762045700476e-55	1.1063952197551761e-52
68	Columella	AT1G56280	15.605924	2.2167737	6.634294460962009e-55	1.4954215000015044e-52
69	Columella	AT5G62390	15.603743	2.8442142	6.864887068409988e-55	1.5325200294930258e-52
70	Columella	AT5G62300	15.497161	2.9234197	3.6256446532771595e-54	8.016818277631982e-52
71	Columella	AT3G06700	15.453896	2.3984175	7.101873281325622e-54	1.5555112450239334e-51
72	Columella	AT5G59820	15.3651085	2.0696974	2.8057005994964683e-53	6.087845870888739e-51
73	Columella	AT5G65207	15.319953	2.2907946	5.625822458863667e-53	1.2093955558096088e-50
74	Columella	AT2G27530	15.294883	3.034191	8.2709499425742175e-53	1.7617123377683084e-50
75	Columella	AT3G62250	15.249506	2.758708	1.6588229691233391e-52	3.5011720794669603e-50
76	Columella	AT2G18020	15.233539	2.8797548	2.1181169352359375e-52	4.430299178862411e-50
77	Columella	AT5G10130	15.222547	1.7232152	2.505844212115138e-52	5.194480810060461e-50
78	Columella	AT1G23710	15.185469	2.015443	4.413940231832489e-52	9.068889412606627e-50
79	Columella	AT3G24830	15.175	3.0701342	5.1777817545222335e-52	1.0544961315328306e-49
80	Columella	AT2G43535	15.110851	2.3669937	1.3735447387551894e-51	2.7730076695373245e-49
81	Columella	AT5G64310	15.104971	1.8447789	1.501734640294203e-51	3.005670098595733e-49
82	Columella	AT1G78380	15.057847	2.6435273	3.0660826674515035e-51	6.084208657283894e-49
83	Columella	AT3G16450	15.047011	2.5739233	3.6118488484352434e-51	7.106465653739071e-49
84	Columella	AT4G18100	15.002824	2.9757793	7.036131271091416e-51	1.3613154976744118e-48
85	Columella	AT5G27700	14.9297285	2.8899722	2.1112349956156254e-50	4.0509539581163616e-48
86	Columella	AT1G01470	14.904658	2.3255277	3.073798527063106e-50	5.849539377280666e-48
87	Columella	AT3G45730	14.855446	4.205706	6.414017920227447e-50	1.210684992308298e-47
88	Columella	AT3G49910	14.788235	2.86165	1.744687405460696e-49	3.266645765530724e-47
89	Columella	AT3G56340	14.719824	3.0805368	4.809109966177982e-49	8.932248486780336e-47
90	Columella	AT5G62700	14.563766	1.6428219	4.7753407429411876e-48	8.799133811814726e-46
91	Columella	AT3G11510	14.46476	2.9852526	2.0231018640291976e-47	3.6984532265484945e-45
92	Columella	AT2G01250	14.444845	2.7546866	2.7016334287027887e-47	4.9002986964213e-45
93	Columella	AT4G37410	14.414917	2.7513406	4.169421662831848e-47	7.503989360152482e-45
94	Columella	AT2G41840	14.33907	2.939718	1.2471522878401062e-46	2.2273180512910574e-44
95	Columella	AT3G22230	14.303862	3.3568935	2.0699723966835135e-46	3.6407991768031164e-44
